Zip,Latitude,Longitude
27502,35.715250, -78.920992
27518,35.731139, -78.773206
27526,35.544010, -78.829824
27529,35.655625, -78.584906
27560,35.857892, -78.827698
27607,35.813106, -78.721175
27610,35.744400, -78.546278
27614,35.945927, -78.619492
27616,35.866734, -78.541216
27617,35.907875, -78.772960
